age,gender,raceethnicity,month,armed,pop,share_Caucasian,income,urate,age_group,pop_group,income_bracket,SC_category
25,Male,Caucasian,April,Firearm,6701,74.9,27813,0.047407913,20 - 29,6000 - 7000,27000 - 28000,High
31,Male,Caucasian,March,Knife,9680,89.0,28125,0.095137421,30 - 39,9000 - 10000,28000 - 29000,Very High
29,Male,African American,May,Firearm,2860,70.7,42931,0.12679524,20 - 29,2000 - 3000,42000 - 43000,High
49,Male,Caucasian,March,Firearm,5057,79.7,20407,0.150479846,40 - 49,5000 - 6000,20000 - 21000,High
23,Male,Unknown,January,Firearm,4179,2.0,18047,0.125765426,20 - 29,4000 - 5000,18000 - 19000,Low
45,Male,Caucasian,February,Knife,3880,69.7,35827,0.044583333,40 - 49,3000 - 4000,35000 - 36000,High
26,Male,African American,January,Firearm,3078,1.9,17893,0.214183381,20 - 29,3000 - 4000,17000 - 18000,Low
35,Male,Caucasian,January,Knife,3770,94.9,31080,0.041356877,30 - 39,3000 - 4000,31000 - 32000,Very High
34,Male,Caucasian,February,Non-lethal firearm,4689,93.2,25130,0.110323438,30 - 39,4000 - 5000,25000 - 26000,Very High
46,Male,Asian/Pacific Islander,May,No,1392,43.0,35788,0.055155875,40 - 49,1000 - 2000,35000 - 36000,Medium
29,Male,African American,March,Knife,10220,86.2,28556,0.053564237,20 - 29,10000 - 11000,28000 - 29000,Very High
39,Male,African American,February,Firearm,4828,73.2,27031,0.081150488,30 - 39,4000 - 5000,27000 - 28000,High
28,Male,Asian/Pacific Islander,March,Knife,3568,12.2,11805,0.348008386,20 - 29,3000 - 4000,11000 - 12000,Low
51,Male,Hispanic/Latino,April,Knife,3035,46.0,20428,0.103244838,50 - 59,3000 - 4000,20000 - 21000,Half
67,Male,Caucasian,January,Firearm,2422,95.9,12840,0.312611012,60 - 69,2000 - 3000,12000 - 13000,Very High
53,Male,Caucasian,May,Firearm,5102,94.4,31274,0.099182004,50 - 59,5000 - 6000,31000 - 32000,Very High
25,Male,African American,May,No,2560,0.0,14177,0.258064516,20 - 29,2000 - 3000,14000 - 15000,Low
30,Male,African American,March,Knife,2621,18.1,13805,0.155444722,30 - 39,2000 - 3000,13000 - 14000,Low
24,Male,Hispanic/Latino,April,No,4049,6.5,16689,0.062886598,20 - 29,4000 - 5000,16000 - 17000,Low
35,Male,Caucasian,February,Firearm,2367,40.7,14746,0.214501511,30 - 39,2000 - 3000,14000 - 15000,Medium
43,Male,African American,March,Vehicle,5222,18.0,8206,0.439590444,40 - 49,5000 - 6000,8000 - 9000,Low
24,Male,Caucasian,February,Firearm,5304,71.5,22409,0.095290859,20 - 29,5000 - 6000,22000 - 23000,High
29,Male,Caucasian,January,Firearm,3357,41.0,37579,0.107042254,20 - 29,3000 - 4000,37000 - 38000,Medium
38,Male,African American,May,Firearm,3548,88.7,33294,0.032068063,30 - 39,3000 - 4000,33000 - 34000,Very High
31,Male,Caucasian,April,No,3886,67.2,22080,0.092469018,30 - 39,3000 - 4000,22000 - 23000,High
36,Male,Caucasian,March,Other,7687,61.8,21049,0.138262782,30 - 39,7000 - 8000,21000 - 22000,Half
38,Male,Caucasian,April,Firearm,6987,78.2,21845,0.103721571,30 - 39,6000 - 7000,21000 - 22000,High
53,Male,Caucasian,March,No,3292,94.9,23583,0.13483871,50 - 59,3000 - 4000,23000 - 24000,Very High
24,Male,Caucasian,February,Knife,6457,62.7,14816,0.071107364,20 - 29,6000 - 7000,14000 - 15000,Half
26,Male,Caucasian,January,Firearm,10229,32.9,22235,0.068076536,20 - 29,10000 - 11000,22000 - 23000,Medium
28,Male,African American,February,Firearm,4377,82.8,21264,0.034616881,20 - 29,4000 - 5000,21000 - 22000,Very High
34,Female,Caucasian,February,Knife,3520,63.6,21667,0.140276302,30 - 39,3000 - 4000,21000 - 22000,Half
28,Male,African American,May,Firearm,11284,31.8,22472,0.149261335,20 - 29,11000 - 12000,22000 - 23000,Medium
40,Male,African American,May,Firearm,3121,3.8,25799,0.159026599,40 - 49,3000 - 4000,25000 - 26000,Low
51,Male,African American,May,No,4941,1.5,21344,0.106880138,50 - 59,4000 - 5000,21000 - 22000,Low
44,Male,Caucasian,April,Firearm,4293,87.8,30465,0.025311025,40 - 49,4000 - 5000,30000 - 31000,Very High
25,Male,Hispanic/Latino,January,Firearm,4917,8.5,19146,0.144497608,20 - 29,4000 - 5000,19000 - 20000,Low
56,Male,Caucasian,February,Knife,8205,69.3,38593,0.079104478,50 - 59,8000 - 9000,38000 - 39000,High
